"Date","Price","Open","High","Low","Vol.","Change %"
"05/01/2015","16.721","16.145","17.775","15.895","740.48K","3.52%"
"04/01/2015","16.153","16.585","16.955","15.585","120.77K","-2.80%"
"03/01/2015","16.619","16.575","17.405","15.260","708.02K","0.37%"
"02/01/2015","16.558","17.245","17.495","16.100","71.09K","-3.89%"
"01/01/2015","17.228","15.730","18.505","15.510","776.29K","10.44%"
"12/01/2014","15.599","15.280","17.280","14.645","63.74K","0.33%"
"11/01/2014","15.547","15.830","16.700","15.110","6.76K","-3.59%"
"10/01/2014","16.126","16.975","17.820","15.820","777.54K","-5.46%"
"09/01/2014","17.057","19.205","19.225","16.850","93.49K","-12.32%"
"08/01/2014","19.454","20.415","20.415","19.335","0.88K","-4.79%"
"07/01/2014","20.432","21.070","21.630","20.350","806.56K","-2.96%"
"06/01/2014","21.056","18.850","21.250","18.700","100.10K","12.60%"
"05/01/2014","18.700","19.190","20.005","18.685","704.30K","-2.47%"
"04/01/2014","19.174","19.715","20.310","18.960","105.84K","-2.99%"
"03/01/2014","19.765","21.325","21.795","19.575","813.35K","-6.95%"
"02/01/2014","21.241","19.315","22.180","19.280","95.87K","10.99%"
"01/01/2014","19.138","19.440","20.670","19.310","729.30K","-1.20%"
"12/01/2013","19.370","19.715","20.440","18.720","73.01K","-3.23%"
"11/01/2013","20.016","21.860","22.055","19.670","7.61K","-8.53%"
"10/01/2013","21.882","21.700","23.060","20.495","771.23K","0.80%"
"09/01/2013","21.708","21.930","23.330","21.375","68.83K","-7.61%"
"08/01/2013","23.495","19.370","25.100","19.370","2.94K","19.61%"
"07/01/2013","19.643","19.500","20.595","18.665","757.01K","0.89%"
"06/01/2013","19.470","22.380","22.710","18.170","142.09K","-12.55%"
"05/01/2013","22.265","24.320","24.420","20.250","920.06K","-7.94%"
"04/01/2013","24.185","28.080","28.125","22.085","95.88K","-14.70%"
"03/01/2013","28.353","28.525","29.350","27.925","606.82K","-0.28%"
"02/01/2013","28.432","31.615","32.095","28.345","104.70K","-9.39%"
"01/01/2013","31.380","30.370","32.485","29.240","786.86K","3.81%"
"12/01/2012","30.227","33.680","33.785","29.660","39.13K","-9.10%"
"11/01/2012","33.254","32.280","34.290","30.810","4.11K","2.82%"
"10/01/2012","32.342","34.530","35.445","31.535","755.13K","-6.46%"
"09/01/2012","34.577","31.870","35.090","31.870","95.23K","10.06%"
"08/01/2012","31.417","27.205","31.205","27.205","47.66K","12.44%"
"07/01/2012","27.941","27.500","28.445","26.425","653.76K","1.19%"
"06/01/2012","27.612","27.680","29.800","26.105","122.27K","-0.62%"
"05/01/2012","27.785","30.980","31.365","26.730","840.02K","-10.42%"
"04/01/2012","31.016","32.395","33.215","29.990","76.17K","-4.60%"
"03/01/2012","32.513","34.645","35.705","31.090","911.74K","-6.15%"
"02/01/2012","34.642","33.920","37.580","32.800","189.33K","4.06%"
"01/01/2012","33.290","27.980","33.965","27.905","677.92K","19.25%"
"12/01/2011","27.915","33.155","33.300","26.145","62.68K","-14.83%"
"11/01/2011","32.777","34.100","35.320","30.765","8.83K","-4.63%"
"10/01/2011","34.370","29.935","35.570","28.435","790.01K","14.25%"
"09/01/2011","30.083","41.745","42.685","26.170","93.29K","-27.91%"
"08/01/2011","41.727","39.500","44.175","37.135","2.43K","4.02%"
"07/01/2011","40.114","34.745","41.465","33.470","1.13M","15.16%"
"06/01/2011","34.832","38.245","38.365","33.440","109.53K","-9.10%"
"05/01/2011","38.317","48.090","48.190","32.300","2.11M","-21.16%"
"04/01/2011","48.599","37.225","49.560","37.200","283.86K","28.23%"
"03/01/2011","37.900","33.900","38.180","33.565","1.44M","12.06%"
"02/01/2011","33.820","28.100","34.235","28.015","120.25K","20.02%"
"01/01/2011","28.179","30.930","31.275","26.540","1.17M","-8.91%"
"12/01/2010","30.937","28.195","30.975","28.100","45.60K","9.71%"
"11/01/2010","28.199","24.845","29.300","24.000","93.26K","14.70%"
"10/01/2010","24.585","21.770","24.950","21.725","1.09M","12.67%"
"09/01/2010","21.821","19.360","22.125","19.360","91.17K","12.38%"
"08/01/2010","19.418","18.025","19.315","17.785","18.20K","7.76%"
"07/01/2010","18.020","18.650","18.690","17.325","518.78K","-3.68%"
"06/01/2010","18.708","17.650","19.460","17.385","61.33K","1.45%"
"05/01/2010","18.440","18.685","19.845","17.080","772.18K","-1.07%"
"04/01/2010","18.639","17.950","18.790","17.510","72.49K","6.27%"
"03/01/2010","17.540","16.525","17.665","16.330","615.16K","6.17%"
"02/01/2010","16.521","16.210","16.790","14.695","79.34K","1.98%"
"01/01/2010","16.200","16.940","18.925","16.265","603.83K","-3.83%"
